bee;nest;treatment;tstartforaging;logtstartforaging;maxminusstarttime;sumfeedingtime;logsumfeedingtime;numberofvisitations;sumdistcovered;meanvisitduration;revisitations;countyellow;countorange;countblue;visitblue;visitorange;visityellow;allcolorsvisited;averagedistance;meanspeed;sumflowersvisited;visitspatchA;visitspatchB;visitspatchC;patchesvisited;allpatchesvisited;visitsperpatchrounded
2016316-09;8;control;13;1.113943352;1102;121;2.08278537;40;2167.034795;3.025;5;22;7;11;1;1;1;1;63.7363175;4.167759117;22;17;8;15;3;1;13
2016316-10;8;control;34;1.531478917;1014;166;2.220108088;60;2760.209537;2.766666667;12;52;7;1;1;1;1;1;58.7278625;3.803630117;19;16;21;23;3;1;20
2016325-02;9;imidacloprid;413;2.615950052;2036;183;2.26245109;74;6111.31971;2.472972973;18;67;3;3;1;1;1;1;107.2161353;4.960406763;17;20;26;27;3;1;24
2016325-03;9;imidacloprid;614;2.788168371;641;118;2.071882007;37;1277.635334;3.189189189;6;31;6;0;0;1;1;0;42.58784448;3.023090316;15;19;9;9;3;1;12
2016325-04;9;imidacloprid;60;1.77815125;1335;63;1.799340549;33;2829.350299;1.909090909;7;31;2;0;0;1;1;0;113.174012;3.762284667;9;6;0;27;2;0;11
2016326-01;9;imidacloprid;329;2.517195898;1881;73;1.86332286;35;3217.6761;2.085714286;9;33;2;0;0;1;1;0;123.7567731;5.680225446;14;12;9;14;3;1;12
2016326-02;9;imidacloprid;1607;3.206015877;897;80;1.903089987;36;2073.613266;2.222222222;8;34;2;0;0;1;1;0;76.80049133;3.25639177;14;12;15;9;3;1;12
2016326-03;9;imidacloprid;1069;3.028977705;1147;101;2.004321374;41;2990.084018;2.463414634;10;35;6;0;0;1;1;0;99.66946726;2.872756523;17;17;10;14;3;1;14
2016326-04;9;imidacloprid;45;1.653212514;2394;228;2.357934847;30;2146.451856;7.kesä;8;18;12;0;0;1;1;0;97.56599345;5.440800579;15;8;12;10;3;1;10
2016327-01;9;imidacloprid;599;2.777426822;1191;231;2.36361198;54;5369.300112;4.277777778;7;51;3;0;0;1;1;0;116.7239155;5.446177365;17;10;28;16;3;1;18
2016327-02;9;imidacloprid;173;2.238046103;2584;56;1.748188027;24;2800.731005;2.333333333;3;21;3;0;0;1;1;0;140.0365502;4.007459218;14;8;4;12;3;1;8
2016327-03;9;imidacloprid;231;2.36361198;97;7;0.84509804;4;513.2842712;tammi.75;1;3;1;0;0;1;1;0;171.0947571;3.591735156;4;1;0;3;2;0;1
2016327-04;9;imidacloprid;156;2.193124598;361;46;1.662757832;23;948.9530795;2;5;21;2;0;0;1;1;0;55.82076939;3.01788504;8;0;2;21;2;0;8
2016327-05;9;imidacloprid;996;2.998259338;1109;89;1.949390007;43;3937.828127;2.069767442;5;34;5;4;1;1;1;1;106.4277872;5.300440619;16;15;18;10;3;1;14
2016328-01;9;imidacloprid;202;2.305351369;1318;43;1.633468456;21;2299.37577;2.047619048;3;18;2;1;1;1;1;1;135.2573982;2.740927573;13;7;2;12;3;1;7
2016328-02;9;imidacloprid;193;2.285557309;2386;523;2.718501689;31;1384.295533;16.87096774;14;28;3;0;0;1;1;0;86.5184708;2.107571637;16;6;16;9;3;1;10
2016328-03;9;imidacloprid;1188;3.074816441;456;78;1.892094603;33;2116.792771;2.363636364;3;28;5;0;0;1;1;0;72.99285417;4.46684016;17;18;7;8;3;1;11
2016329-02;9;imidacloprid;145;2.161368002;1692;104;2.017033339;36;2083.686309;2.888888889;6;26;6;4;1;1;1;1;71.85125203;3.624212211;18;16;8;12;3;1;12
2016329-03;9;imidacloprid;207;2.315970345;1508;29;1.462397998;13;1208.239259;2.230769231;3;11;2;0;0;1;1;0;134.2488065;2.243544343;6;4;0;9;2;0;4
2016329-04;9;imidacloprid;359;2.555094449;1655;114;2.056904851;36;1802.33588;3.166666667;9;31;5;0;0;1;1;0;69.32061076;2.867531722;17;12;18;6;3;1;12
2016329-05;9;imidacloprid;123;2.089905111;257;59;1.770852012;21;1834.286012;2.80952381;1;19;2;0;0;1;1;0;96.54136907;7.385542189;14;6;7;8;3;1;7
2016329-06;9;imidacloprid;2192;3.34084055;271;68;1.832508913;29;1361.202388;2.344827586;6;22;7;0;0;1;1;0;59.18271252;4.93168792;16;14;10;5;3;1;10
2016329-07;9;imidacloprid;292;2.465382851;1761;246;2.390935107;31;3276.193388;7.935483871;10;24;6;1;1;1;1;1;163.8096694;2.66410815;14;19;3;9;3;1;10
2016329-08;9;imidacloprid;243;2.385606274;554;32;1.505149978;15;691.187974;2.133333333;3;14;1;0;0;1;1;0;62.83527037;2.868149905;11;6;4;5;3;1;5
2016329-09;9;imidacloprid;620;2.792391689;1430;40;1.602059991;15;1716.344495;2.666666667;2;14;1;0;0;1;1;0;143.0287079;3.535604931;9;3;1;11;3;1;5
2016329-10;9;imidacloprid;1033;3.014100322;375;89;1.949390007;34;1425.543699;2.617647059;8;25;9;0;0;1;1;0;57.02174795;3.902867252;17;16;9;9;3;1;11
